Index,Year,Level,Sport,First Place,First Place Hometown,Second Place,Second Place Hometown,Third Place,Third Place Hometown,Fourth Place,Fourth Place Hometown,Win Streak
970,2016,Pro,CFL,Ottawa Redblacks,"Ottawa, ON",Calgary Stampeders,"Calgary, AB",BC Lions,"Vancouver, BC",Edmonton Eskimos,"Edmonton, AB",1
983,2017,Pro,CFL,Toronto Argonauts,"Toronto, ON",Calgary Stampeders,"Calgary, AB",Edmonton Eskimos,"Edmonton, AB",Saskatchewan Roughriders,"Regina, SK",1
0,1870,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
1,1870,College,Football (M),Rutgers Scarlet Knights,"New Brunswick, NJ",,,,,,,1
2,1871,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
3,1873,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,2
4,1874,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,3
5,1875,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,1
6,1876,College,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,,1
7,1877,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,1
8,1878,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,2
9,1879,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
10,1880,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,2
11,1881,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,3
12,1881,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,1
13,1882,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,2
14,1883,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,3
15,1884,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,4
16,1885,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,5
17,1886,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
18,1887,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,1
19,1888,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,2
20,1889,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,3
21,1890,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
22,1891,College,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,,1
23,1892,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,1
24,1893,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,2
25,1894,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
26,1895,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,1
27,1896,College,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,,1
28,1897,College,Football (M),Lafayette Leopards,"Lehigh Valley, NJ-PA",,,,,,,1
29,1897,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
30,1898,College,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,,1
31,1899,College,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,,1
32,1900,College,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,,2
33,1901,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,1
34,1902,College,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,,1
35,1903,College,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,,2
37,1904,College,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,,3
38,1904,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
39,1905,College,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,,1
40,1905,College,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,,1
42,1906,College,Football (M),Chicago Maroons,"Chicago, IL",,,,,,,1
44,1907,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
46,1908,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,1
48,1909,College,Football (M),LSU Fighting Tigers,"Baton Rouge, LA",,,,,,,1
49,1909,College,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,,1
52,1910,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,1
55,1911,College,Football (M),Pittsburgh Panthers,"Pittsburgh, PA",,,,,,,1
56,1911,College,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,,1
59,1912,College,Football (M),Penn State Nittany Lions,"State College, PA",,,,,,,1
60,1912,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
63,1913,College,Football (M),Penn State Nittany Lions,"State College, PA",,,,,,,1
64,1913,College,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,,1
67,1914,College,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,,2
70,1915,College,Football (M),Army Black Knights,"West Point, NY",,,,,,,1
73,1916,College,Football (M),Cornell Big Red,"Ithaca, NY",,,,,,,1
75,1917,College,Football (M),Pittsburgh Panthers,"Pittsburgh, PA",,,,,,,1
77,1918,College,Football (M),Georgia Tech Yellow Jackets,"Atlanta, GA",,,,,,,1
80,1919,College,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,,1
81,1919,College,Football (M),Pittsburgh Panthers,"Pittsburgh, PA",,,,,,,1
84,1920,College,Football (M),Texas A&M Aggies,"College Station, TX",,,,,,,1
85,1920,College,Football (M),Illinois Fighting Illini,"Champaign-Urbana, IL",,,,,,,1
86,1920,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
87,1920,College,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,,1
90,1921,College,Football (M),California Golden Bears,"San Francisco Bay Area, CA",,,,,,,1
94,1922,College,Football (M),Cornell Big Red,"Ithaca, NY",,,,,,,1
95,1922,College,Football (M),California Golden Bears,"San Francisco Bay Area, CA",,,,,,,1
100,1923,College,Football (M),Cornell Big Red,"Ithaca, NY",,,,,,,1
101,1923,College,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,,1
102,1923,College,Football (M),California Golden Bears,"San Francisco Bay Area, CA",,,,,,,1
107,1924,College,Football (M),Illinois Fighting Illini,"Champaign-Urbana, IL",,,,,,,1
108,1924,College,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,,1
113,1925,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
118,1926,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
123,1927,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,2
124,1927,College,Football (M),Stanford Cardinal,"San Francisco Bay Area, CA",,,,,,,1
129,1928,College,Football (M),Illinois Fighting Illini,"Champaign-Urbana, IL",,,,,,,1
130,1928,College,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,,1
135,1929,College,Football (M),Georgia Tech Yellow Jackets,"Atlanta, GA",,,,,,,1
140,1930,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
145,1931,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
146,1931,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
151,1932,College,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,,1
156,1933,College,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,,2
161,1934,College,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,,1
166,1935,College,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,,1
171,1936,College,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,,2
176,1937,College,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,,3
181,1938,College,Football (M),Pittsburgh Panthers,"Pittsburgh, PA",,,,,,,1
186,1939,College,Football (M),Texas Christian Horned Frogs,"Dallas-Fort Worth, TX",,,,,,,1
192,1940,College,Football (M),Texas A&M Aggies,"College Station, TX",,,,,,,1
198,1941,College,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,,1
204,1942,College,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,,2
210,1943,College,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,,1
216,1944,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
222,1945,College,Football (M),Army Black Knights,"West Point, NY",,,,,,,1
228,1946,College,Football (M),Army Black Knights,"West Point, NY",,,,,,,2
234,1947,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
242,1948,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,2
250,1949,College,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,,1
258,1950,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
266,1951,College,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,,1
274,1952,College,Football (M),Tennessee Volunteers,"Knoxville, TN",,,,,,,1
282,1953,College,Football (M),Michigan State Spartans,"East Lansing, MI",,,,,,,1
290,1954,College,Football (M),Maryland Terrapins,"Washington, DC Metro Area",,,,,,,1
298,1955,College,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,,1
299,1955,College,Football (M),UCLA Bruins,"Greater Los Angeles, CA",,,,,,,1
307,1956,College,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,,1
315,1957,College,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,,2
323,1958,College,Football (M),Auburn Tigers,"Auburn, AL",,,,,,,1
324,1958,College,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,,1
332,1959,College,Football (M),Iowa Hawkeyes,"Iowa City, IA",,,,,,,1
333,1959,College,Football (M),LSU Fighting Tigers,"Baton Rouge, LA",,,,,,,1
341,1960,College,Football (M),Syracuse Orange,"Syracuse, NY",,,,,,,1
349,1961,College,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,,1
350,1961,College,Football (M),Ole Miss Rebels,"Oxford, MS",,,,,,,1
358,1962,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
359,1962,College,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,,1
367,1963,College,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,,1
375,1964,College,Football (M),Texas Longhorns,"Austin, TX",,,,,,,1
383,1965,College,Football (M),Arkansas Razorbacks,"Northwest Arkansas, AR",,,,,,,1
384,1965,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
385,1965,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
393,1966,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
394,1966,College,Football (M),Michigan State Spartans,"East Lansing, MI",,,,,,,1
402,1967,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
403,1967,College,Football (M),Michigan State Spartans,"East Lansing, MI",,,,,,,1
411,1968,College,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,,1
419,1969,College,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,,1
427,1970,College,Football (M),Texas Longhorns,"Austin, TX",,,,,,,1
435,1971,College,Football (M),Texas Longhorns,"Austin, TX",,,,,,,2
436,1971,College,Football (M),Nebraska Cornhuskers,"Lincoln, NE",,,,,,,1
437,1971,College,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,,1
445,1972,College,Football (M),Nebraska Cornhuskers,"Lincoln, NE",,,,,,,1
453,1973,College,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,,1
461,1974,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
462,1974,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
470,1975,College,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,,1
471,1975,College,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,,1
479,1976,College,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,,1
487,1977,College,Football (M),Pittsburgh Panthers,"Pittsburgh, PA",,,,,,,1
495,1978,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
503,1979,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
504,1979,College,Football (M),Florida A&M Rattlers,"Tallahassee, FL",Massachusetts Minutemen,"Springfield, MA",,,,,1
505,1979,College,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,,1
513,1980,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
514,1980,College,Football (M),Eastern Kentucky Colonels,"Richmond, KY",Lehigh Mountain Hawks,"Lehigh Valley, NJ-PA",,,,,1
522,1981,College,Football (M),Georgia Bulldogs,"Athens, GA",,,,,,,1
523,1981,College,Football (M),Boise State Broncos,"Boise City, ID",Eastern Kentucky Colonels,"Richmond, KY",,,,,1
532,1982,College,Football (M),Clemson Tigers,"Greenville, SC",,,,,,,1
533,1982,College,Football (M),Idaho State Bengals,"Pocatello, ID",Eastern Kentucky Colonels,"Richmond, KY",,,,,1
544,1983,College,Football (M),Eastern Kentucky Colonels,"Richmond, KY",Delaware Fightin' Blue Hens,"Newark, DE",,,,,1
545,1983,College,Football (M),Penn State Nittany Lions,"State College, PA",,,,,,,1
556,1984,College,Football (M),Southern Illinois Salukis,"Carbondale, IL",Western Carolina Catamounts,"Cullowhee, NC",,,,,1
557,1984,College,Football (M),Miami Hurricanes,"Greater Miami Area, FL",,,,,,,1
568,1985,College,Football (M),Brigham Young Cougars,"Provo, UT",,,,,,,1
569,1985,College,Football (M),Montana State Bobcats,"Bozeman, MT",Louisiana Tech Bulldogs,"Monroe, LA",,,,,1
580,1986,College,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,,1
581,1986,College,Football (M),Georgia Southern Eagles,"Statesboro, GA",Furman Paladins,"Greenville, SC",,,,,1
592,1987,College,Football (M),Georgia Southern Eagles,"Statesboro, GA",Arkansas State Red Wolves,ERROR,,,,,2
593,1987,College,Football (M),Penn State Nittany Lions,"State College, PA",,,,,,,1
604,1988,College,Football (M),Louisiana-Monroe Warhawks,"Monroe, LA",Marshall Thundering Herd,"Huntington, WV",,,,,1
605,1988,College,Football (M),Miami Hurricanes,"Greater Miami Area, FL",,,,,,,1
616,1989,College,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,,1
617,1989,College,Football (M),Furman Paladins,"Greenville, SC",Georgia Southern Eagles,"Statesboro, GA",,,,,1
628,1990,College,Football (M),Georgia Southern Eagles,"Statesboro, GA",Stephen F. Austin Lumberjacks,"Nacogdoches, TX",,,,,1
629,1990,College,Football (M),Miami Hurricanes,"Greater Miami Area, FL",,,,,,,1
640,1991,College,Football (M),Georgia Tech Yellow Jackets,"Atlanta, GA",,,,,,,1
641,1991,College,Football (M),Georgia Southern Eagles,"Statesboro, GA",Nevada Wolf Pack,"Reno, NV",,,,,1
642,1991,College,Football (M),Colorado Buffaloes,"Boulder, CO",,,,,,,1
653,1992,College,Football (M),Youngstown State Penguins,"Youngstown, OH",Marshall Thundering Herd,"Huntington, WV",,,,,1
654,1992,College,Football (M),Miami Hurricanes,"Greater Miami Area, FL",,,,,,,1
655,1992,College,Football (M),Washington Huskies,"Seattle,WA",,,,,,,1
666,1993,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
667,1993,College,Football (M),Marshall Thundering Herd,"Huntington, WV",Youngstown State Penguins,"Youngstown, OH",,,,,1
678,1994,College,Football (M),Florida State Seminoles,"Tallahassee, FL",,,,,,,1
679,1994,College,Football (M),Youngstown State Penguins,"Youngstown, OH",Marshall Thundering Herd,"Huntington, WV",,,,,1
689,1995,College,Football (M),Nebraska Cornhuskers,"Lincoln, NE",,,,,,,1
690,1995,College,Football (M),Youngstown State Penguins,"Youngstown, OH",Boise State Broncos,"Boise City, ID",,,,,1
701,1996,College,Football (M),Nebraska Cornhuskers,"Lincoln, NE",,,,,,,1
702,1996,College,Football (M),Montana Grizzlies,"Missoula, MT",Marshall Thundering Herd,"Huntington, WV",,,,,1
714,1997,College,Football (M),Marshall Thundering Herd,"Huntington, WV",Montana Grizzlies,"Missoula, MT",,,,,1
715,1997,College,Football (M),Florida Gators,"Gainesville, FL",,,,,,,1
727,1998,College,Football (M),Nebraska Cornhuskers,"Lincoln, NE",,,,,,,1
728,1998,College,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,,1
729,1998,College,Football (M),Youngstown State Penguins,"Youngstown, OH",McNeese State Cowboys,"Lake Charles, LA",,,,,1
741,1999,College,Football (M),Tennessee Volunteers,"Knoxville, TN",,,,,,,1
742,1999,College,Football (M),Massachusetts Minutemen,"Springfield, MA",Georgia Southern Eagles,"Statesboro, GA",,,,,1
754,2000,College,Football (M),Florida State Seminoles,"Tallahassee, FL",,,,,,,1
755,2000,College,Football (M),Georgia Southern Eagles,"Statesboro, GA",Youngstown State Penguins,"Youngstown, OH",,,,,1
767,2001,College,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,,1
768,2001,College,Football (M),Georgia Southern Eagles,"Statesboro, GA",Montana Grizzlies,"Missoula, MT",,,,,1
780,2002,College,Football (M),Miami Hurricanes,"Greater Miami Area, FL",,,,,,,1
781,2002,College,Football (M),Montana Grizzlies,"Missoula, MT",Furman Paladins,"Greenville, SC",,,,,1
793,2003,College,Football (M),Western Kentucky Hilltoppers,"Bowling Green, KY",McNeese State Cowboys,"Lake Charles, LA",,,,,1
794,2003,College,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,,1
806,2004,College,Football (M),LSU Fighting Tigers,"Baton Rouge, LA",,,,,,,1
807,2004,College,Football (M),Delaware Fightin' Blue Hens,"Newark, DE",Colgate Raiders,"Hamilton, NY",,,,,1
808,2004,College,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,,1
820,2005,College,Football (M),James Madison Dukes,"Harrisonburg, VA",Montana Grizzlies,"Missoula, MT",,,,,1
821,2005,College,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,,1
832,2006,College,Football (M),Texas Longhorns,"Austin, TX",,,,,,,1
833,2006,College,Football (M),Appalachian State Mountaineers,"Boone, NC",Northern Iowa Panthers,"Cedar Falls, IA",,,,,1
845,2007,College,Football (M),Florida Gators,"Gainesville, FL",,,,,,,1
846,2007,College,Football (M),Appalachian State Mountaineers,"Boone, NC",Massachusetts Minutemen,"Springfield, MA",,,,,1
858,2008,College,Football (M),LSU Fighting Tigers,"Baton Rouge, LA",,,,,,,1
859,2008,College,Football (M),Appalachian State Mountaineers,"Boone, NC",Delaware Fightin' Blue Hens,"Newark, DE",,,,,1
871,2009,College,Football (M),Florida Gators,"Gainesville, FL",,,,,,,1
872,2009,College,Football (M),Richmond Spiders,"Richmond, VA",Montana Grizzlies,"Missoula, MT",,,,,1
884,2010,College,Football (M),Villanova Wildcats,"Greater Philadelphia, PA",Montana Grizzlies,"Missoula, MT",,,,,1
885,2010,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
897,2011,College,Football (M),Eastern Washington Eagles,"Spokane, WA",Delaware Fightin' Blue Hens,"Newark, DE",,,,,1
898,2011,College,Football (M),Auburn Tigers,"Auburn, AL",,,,,,,1
910,2012,College,Football (M),North Dakota State Bison,"Fargo, ND",Sam Houston State Bearkats,"Huntsville, TX",,,,,1
911,2012,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
923,2013,College,Football (M),North Dakota State Bison,"Fargo, ND",Sam Houston State Bearkats,"Huntsville, TX",,,,,1
924,2013,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,,1
935,2014,College,Football (M),North Dakota State Bison,"Fargo, ND",Florida State Seminoles,"Tallahassee, FL",Virginia Cavaliers,"Charlottesville, VA",Virginia Tech Hokies,"Blacksburg, VA",1
936,2014,College,Football (M),Florida State Seminoles,"Tallahassee, FL",Towson Tigers,"Baltimore, MD",,,,,1
948,2015,College,Football (M),North Dakota State Bison,"Fargo, ND",Illinois State Redbirds,"Normal, IL",,,,,1
949,2015,College,Football (M),Ohio State Buckeyes,"Columbus, OH",Oregon Ducks,"Eugene, OR",,,,,1
961,2016,College,Football (M),North Dakota State Bison,"Fargo, ND",Jacksonville State Gamecocks,"Calhoun County, AL",,,,,1
962,2016,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",Clemson Tigers,"Greenville, SC",,,,,1
974,2017,College,Football (M),Clemson Tigers,"Greenville, SC",Alabama Crimson Tide,"Tuscaloosa, AL",,,,,1
975,2017,College,Football (M),James Madison Dukes,"Harrisonburg, VA",Youngstown State Penguins,"Youngstown, OH",,,,,1
987,2018,College,Football (M),North Dakota State Bison,"Fargo, ND",James Madison Dukes,"Harrisonburg, VA",,,,,1
988,2018,College,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",Georgia Bulldogs,"Athens, GA",,,,,1
36,1903,Pro,MLB,Boston Americans,"Greater Boston, MA",Pittsburgh Pirates,"Pittsburgh, PA",Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area,1
41,1905,Pro,MLB,New York Giants,New York Metro Area,Philadelphia Athletics,"Greater Philadelphia, PA",Chicago White Sox,"Chicago, IL",Pittsburgh Pirates,"Pittsburgh, PA",1
43,1906,Pro,MLB,Chicago White Sox,"Chicago, IL",Chicago Cubs,"Chicago, IL",New York Highlanders,New York Metro Area,New York Giants,New York Metro Area,1
45,1907,Pro,MLB,Chicago Cubs,"Chicago, IL",Detroit Tigers,"Metro Detroit, MI",Philadelphia Athletics,"Greater Philadelphia, PA",Pittsburgh Pirates,"Pittsburgh, PA",1
47,1908,Pro,MLB,Chicago Cubs,"Chicago, IL",Detroit Tigers,"Metro Detroit, MI",Cleveland Naps,"Cleveland, OH",New York Giants,New York Metro Area,2
50,1909,Pro,MLB,Pittsburgh Pirates,"Pittsburgh, PA",Detroit Tigers,"Metro Detroit, MI",Chicago Cubs,"Chicago, IL",Philadelphia Phillies,"Greater Philadelphia, PA",1
53,1910,Pro,MLB,Philadelphia Athletics,"Greater Philadelphia, PA",Chicago Cubs,"Chicago, IL",New York Highlanders,New York Metro Area,New York Giants,New York Metro Area,1
57,1911,Pro,MLB,Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area,Detroit Tigers,"Metro Detroit, MI",Chicago Cubs,"Chicago, IL",2
61,1912,Pro,MLB,Boston Red Sox,"Greater Boston, MA",New York Giants,New York Metro Area,Washington Senators,"Washington, DC Metro Area",Philadelphia Phillies,"Greater Philadelphia, PA",1
65,1913,Pro,MLB,Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area,Boston Red Sox,"Greater Boston, MA",Philadelphia Phillies,"Greater Philadelphia, PA",1
68,1914,Pro,MLB,Boston Braves,"Greater Boston, MA",Philadelphia Athletics,"Greater Philadelphia, PA",Boston Red Sox,"Greater Boston, MA",New York Giants,New York Metro Area,1
71,1915,Pro,MLB,Boston Red Sox,"Greater Boston, MA",Philadelphia Phillies,"Greater Philadelphia, PA",Detroit Tigers,"Metro Detroit, MI",Boston Braves,"Greater Boston, MA",1
74,1916,Pro,MLB,Boston Red Sox,"Greater Boston, MA",Brooklyn Robins,New York Metro Area,Chicago White Sox,"Chicago, IL",Philadelphia Phillies,"Greater Philadelphia, PA",2
76,1917,Pro,MLB,Chicago White Sox,"Chicago, IL",New York Giants,New York Metro Area,Boston Red Sox,"Greater Boston, MA",Philadelphia Phillies,"Greater Philadelphia, PA",1
79,1918,Pro,MLB,Boston Red Sox,"Greater Boston, MA",Chicago Cubs,"Chicago, IL",Cleveland Indians,"Cleveland, OH",New York Giants,New York Metro Area,1
83,1919,Pro,MLB,Cincinnati Reds,"Cincinnati, OH",Chicago White Sox,"Chicago, IL",Cleveland Indians,"Cleveland, OH",New York Giants,New York Metro Area,1
88,1920,Pro,MLB,Cleveland Indians,"Cleveland, OH",Brooklyn Robins,New York Metro Area,Chicago White Sox,"Chicago, IL",New York Giants,New York Metro Area,1
92,1921,Pro,MLB,New York Giants,New York Metro Area,New York Yankees,New York Metro Area,Cleveland Indians,"Cleveland, OH",Pittsburgh Pirates,"Pittsburgh, PA",1
97,1922,Pro,MLB,New York Giants,New York Metro Area,New York Yankees,New York Metro Area,St. Louis Browns,"St. Louis, MO",Cincinnati Reds,"Cincinnati, OH",2
104,1923,Pro,MLB,New York Yankees,New York Metro Area,New York Giants,New York Metro Area,Detroit Tigers,"Metro Detroit, MI",Cincinnati Reds,"Cincinnati, OH",1
110,1924,Pro,MLB,Washington Senators,"Washington, DC Metro Area",New York Giants,New York Metro Area,New York Yankees,New York Metro Area,Brooklyn Robins,New York Metro Area,1
115,1925,Pro,MLB,Pittsburgh Pirates,"Pittsburgh, PA",Washington Senators,"Washington, DC Metro Area",Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area,1
120,1926,Pro,MLB,St. Louis Cardinals,"St. Louis, MO",New York Yankees,New York Metro Area,Cleveland Indians,"Cleveland, OH",Cincinnati Reds,"Cincinnati, OH",1
126,1927,Pro,MLB,New York Yankees,New York Metro Area,Pittsburgh Pirates,"Pittsburgh, PA",Philadelphia Athletics,"Greater Philadelphia, PA",St. Louis Cardinals,"St. Louis, MO",1
132,1928,Pro,MLB,New York Yankees,New York Metro Area,St. Louis Cardinals,"St. Louis, MO",Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area,2
137,1929,Pro,MLB,Philadelphia Athletics,"Greater Philadelphia, PA",Chicago Cubs,"Chicago, IL",Philadelphia Athletics,"Greater Philadelphia, PA",Pittsburgh Pirates,"Pittsburgh, PA",1
142,1930,Pro,MLB,Philadelphia Athletics,"Greater Philadelphia, PA",St. Louis Cardinals,"St. Louis, MO",Washington Senators,"Washington, DC Metro Area",Chicago Cubs,"Chicago, IL",2
