Index,Year,Level,Sport,First Place,First Place Hometown,Second Place,Second Place Hometown,Third Place,Third Place Hometown,Fourth Place,Fourth Place Hometown,Win Streak
244,1948,Pro,NBA,Baltimore Bullets,"Baltimore, MD",Philadelphia Warriors,"Greater Philadelphia, PA",Chicago Stags,"Chicago, IL",St. Louis Bombers,ERROR,1
252,1949,Pro,NBA,Minneapolis Lakers,"Twin Cities, MN",Washington Capitols,"Washington, DC Metro Area",Rochester Royals,"Rochester, NY",New York Knicks,New York Metro Area,1
261,1950,Pro,NBA,Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY",New York Knicks,New York Metro Area,Fort Wayne Pistons,"Fort Wayne, IN",2
268,1951,Pro,NBA,Rochester Royals,"Rochester, NY",New York Knicks,New York Metro Area,Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY",1
277,1952,Pro,NBA,Minneapolis Lakers,"Twin Cities, MN",New York Knicks,New York Metro Area,Rochester Royals,"Rochester, NY",Syracuse Nationals,"Syracuse, NY",1
285,1953,Pro,NBA,Minneapolis Lakers,"Twin Cities, MN",New York Knicks,New York Metro Area,Fort Wayne Pistons,"Fort Wayne, IN",Boston Celtics,"Greater Boston, MA",2
293,1954,Pro,NBA,Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY",Rochester Royals,"Rochester, NY",Boston Celtics,"Greater Boston, MA",3
302,1955,Pro,NBA,Syracuse Nationals,"Syracuse, NY",Fort Wayne Pistons,"Fort Wayne, IN",Minneapolis Lakers,"Twin Cities, MN",Boston Celtics,"Greater Boston, MA",1
309,1956,Pro,NBA,Philadelphia Warriors,"Greater Philadelphia, PA",Fort Wayne Pistons,"Fort Wayne, IN",St. Louis Hawks,"St. Louis, MO",Syracuse Nationals,"Syracuse, NY",1
317,1957,Pro,NBA,Boston Celtics,"Greater Boston, MA",St. Louis Hawks,"St. Louis, MO",Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY",1
326,1958,Pro,NBA,St. Louis Hawks,"St. Louis, MO",Boston Celtics,"Greater Boston, MA",Detroit Pistons,"Metro Detroit, MI",Philadelphia Warriors,"Greater Philadelphia, PA",1
335,1959,Pro,NBA,Boston Celtics,"Greater Boston, MA",Minneapolis Lakers,"Twin Cities, MN",St. Louis Hawks,"St. Louis, MO",Syracuse Nationals,"Syracuse, NY",1
343,1960,Pro,NBA,Boston Celtics,"Greater Boston, MA",St. Louis Hawks,"St. Louis, MO",Minneapolis Lakers,"Twin Cities, MN",Philadelphia Warriors,"Greater Philadelphia, PA",2
352,1961,Pro,NBA,Boston Celtics,"Greater Boston, MA",St. Louis Hawks,"St. Louis, MO",Los Angeles Lakers,"Greater Los Angeles, CA",Syracuse Nationals,"Syracuse, NY",3
361,1962,Pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",Philadelphia 76ers,"Greater Philadelphia, PA",4
370,1963,Pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",St. Louis Hawks,"St. Louis, MO",Cincinnati Royals,"Cincinnati, OH",5
378,1964,Pro,NBA,Boston Celtics,"Greater Boston, MA",San Francisco Warriors,"San Francisco Bay Area, CA",St. Louis Hawks,"St. Louis, MO",Cincinnati Royals,"Cincinnati, OH",6
387,1965,Pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Baltimore Bullets,"Baltimore, MD",Philadelphia 76ers,"Greater Philadelphia, PA",7
396,1966,Pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",St. Louis Hawks,"St. Louis, MO",Philadelphia 76ers,"Greater Philadelphia, PA",8
406,1967,Pro,NBA,Philadelphia 76ers,"Greater Philadelphia, PA",San Francisco Warriors,"San Francisco Bay Area, CA",St. Louis Hawks,"St. Louis, MO",Boston Celtics,"Greater Boston, MA",1
414,1968,Pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",San Francisco Warriors,"San Francisco Bay Area, CA",Philadelphia 76ers,"Greater Philadelphia, PA",1
422,1969,Pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Atlanta Hawks,"Atlanta, GA",New York Knicks,New York Metro Area,2
430,1970,Pro,NBA,New York Knicks,New York Metro Area,Los Angeles Lakers,"Greater Los Angeles, CA",Atlanta Hawks,"Atlanta, GA",Milwaukee Bucks,"Milwaukee, WI",1
440,1971,Pro,NBA,Milwaukee Bucks,"Milwaukee, WI",Baltimore Bullets,"Baltimore, MD",Los Angeles Lakers,"Greater Los Angeles, CA",New York Knicks,New York Metro Area,1
448,1972,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",New York Knicks,New York Metro Area,Milwaukee Bucks,"Milwaukee, WI",Boston Celtics,"Greater Boston, MA",1
456,1973,Pro,NBA,New York Knicks,New York Metro Area,Los Angeles Lakers,"Greater Los Angeles, CA",Golden State Warriors,"San Francisco Bay Area, CA",Boston Celtics,"Greater Boston, MA",1
465,1974,Pro,NBA,Boston Celtics,"Greater Boston, MA",Milwaukee Bucks,"Milwaukee, WI",Chicago Bulls,"Chicago, IL",New York Knicks,New York Metro Area,1
474,1975,Pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Washington Bullets,"Washington, DC Metro Area",Chicago Bulls,"Chicago, IL",Boston Celtics,"Greater Boston, MA",1
482,1976,Pro,NBA,Boston Celtics,"Greater Boston, MA",Phoenix Suns,"Metro Phoenix, AZ",Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH",1
490,1977,Pro,NBA,Portland Trail Blazers,"Portland Metro Area, OR",Philadelphia 76ers,"Greater Philadelphia, PA",Los Angeles Lakers,"Greater Los Angeles, CA",Houston Rockets,"Houston, TX",1
498,1978,Pro,NBA,Washington Bullets,"Washington, DC Metro Area",Seattle SuperSonics,"Seattle,WA",Denver Nuggets,"Denver, CO",Philadelphia 76ers,"Greater Philadelphia, PA",1
